f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
35.09659274,33.65300403,29.03515121,22.53801411,20.94079637,19.27849798,19.74387097,112.288125,151.4271573,244.7964919,268.4048891,271.1369254,271.5687097,271.7991532,1020.76638,279.1696638,57.63268178
26.94226285,26.30379447,23.33124506,18.82838933,17.6908498,16.44002964,17.05060277,109.0471443,148.7036067,244.3465613,268.3841008,270.6909684,271.0237154,271.218498,1020.638983,278.125886,55.51201849
16.15993365,14.9334218,13.33587678,11.48281517,11.14404739,11.04584834,12.12893839,103.8403318,145.2548152,243.7838009,267.5470237,270.5072796,271.0948152,271.3465592,1025.677628,277.6429249,39.46537549
18.05608083,16.6106109,14.69155075,12.59366541,12.33107143,12.11022556,13.48650376,104.8682143,145.8423402,243.4765977,266.4844549,268.6469831,268.9704511,269.0767387,1026.136545,275.3481688,44.72149682
15.81783784,14.97530289,13.62257223,11.84828518,11.59002796,11.24496738,12.40185461,103.2303635,144.943616,245.0951072,269.423616,272.0203635,272.4661696,272.6965517,1019.083531,279.7445764,44.97418844
19.0520941,18.22683579,16.48865314,13.85095941,13.15616236,12.51194649,13.39262915,104.0371679,145.6912546,245.7760055,269.8344834,271.2326292,271.3716974,271.4427399,1017.741614,276.6,60.2362069
28.51008612,27.86188517,25.85309091,23.36274641,22.95608612,23.05704306,25.89810526,120.797311,158.682488,248.7144785,271.2301148,274.8055789,275.2603254,275.5990718,1017.474475,282.4531502,45.24313409
22.63182495,21.82828678,19.85385475,17.32616387,16.85182495,16.62886406,18.29407821,108.6966201,148.845298,244.6521136,268.2868156,271.4710615,271.834879,272.1194413,1023.885138,277.9403162,43.51826087
17.53721707,16.9233859,15.26324675,12.83576067,12.32530612,11.86962894,12.81705937,104.1618367,145.0431169,243.1620408,267.8872542,271.7224768,272.2201299,272.6096289,1024.163465,278.5974016,38.39598425
19.00225627,17.75829155,15.72456825,12.81743733,12.25905292,11.86295265,12.82971216,104.1307057,144.704429,242.2005571,266.1916527,268.7810028,269.1091736,269.2492201,1022.380945,275.0555906,44.25519685
23.27892221,21.70929709,18.91145267,15.40881912,14.60923149,14.07333646,15.32330834,106.6729147,146.6876664,243.5535801,268.5766354,272.2193065,272.7597938,273.0466261,1019.013264,279.5868944,38.79245433
18.46923579,17.43349487,15.58095993,13.01080149,12.32102516,12.00240447,12.98287046,103.7475769,144.1869991,242.3027586,267.720466,271.363383,271.73863,272.0193103,1018.676028,276.6364715,50.51598101
12.52690037,12.08726015,11.32166052,10.44082103,10.32429889,10.30472325,11.68296125,101.9911255,142.9978875,243.5548524,270.3944834,275.1995203,275.8329982,276.1510055,1016.181804,282.3145098,37.64933333
15.13305195,14.54613173,13.47543599,11.78320037,11.34576994,11.14424861,12.31423933,102.6118646,143.4626438,243.0959833,269.2362059,272.3859647,272.7248423,272.8879499,1016.70197,276.8013396,54.07691095
